date	Fa árváltozása (2010-hez képest)	Gáz árváltozása (2010-hez képest)
20100101	0	0
20110101	1.97628458	10.43478261
20120101	6.71936759	18.26086957
20130101	10.67193676	6.08695652
20140101	13.43873518	-9.56521739
20150101	15.81027668	-12.17391304
20160101	20.55335968	-12.17391304
20170101	32.80632411	-12.17391304
